subgroup,date,approval,disapproval
Voters,2020-10-04,44.668253,52.196997
Adults,2020-10-04,43.164862,52.619902
Adults,2020-10-03,43.164862,52.619902
Voters,2020-10-03,44.988484,51.742314
Adults,2020-10-02,43.277257,52.425932
Voters,2020-10-02,44.508121,52.14795
Voters,2020-10-01,44.121061,52.783256
Adults,2020-10-01,42.676607,53.282143
Adults,2020-09-30,42.225889,53.746233
Voters,2020-09-30,44.18968,52.677147
Voters,2020-09-29,44.259678,52.40992
Adults,2020-09-29,41.976736,53.277067
Adults,2020-09-28,42.038574,53.332385
Voters,2020-09-28,44.263237,52.407347
Adults,2020-09-27,42.038574,53.332385
Voters,2020-09-27,44.28928,52.22449
Voters,2020-09-26,43.919316,52.702484
Adults,2020-09-26,41.265648,53.919465
Adults,2020-09-25,41.265648,53.919465
Voters,2020-09-25,43.919316,52.702484
Voters,2020-09-24,43.867556,52.826619
Adults,2020-09-24,41.107704,54.154437
Adults,2020-09-23,41.009062,54.184102
Voters,2020-09-23,43.47008,53.022982
Adults,2020-09-22,41.036704,53.759231
Voters,2020-09-22,43.139061,53.221237
Voters,2020-09-21,43.095794,53.228666
Adults,2020-09-21,40.775537,53.972509
Voters,2020-09-20,43.971201,52.776949
Adults,2020-09-20,41.624382,53.32548
Adults,2020-09-19,41.624382,53.32548
Voters,2020-09-19,43.879983,52.68666
Voters,2020-09-18,43.879983,52.68666
Adults,2020-09-18,41.624382,53.32548
Voters,2020-09-17,43.707177,52.925473
Adults,2020-09-17,41.96297,53.515044
Adults,2020-09-16,41.472472,53.886346
Voters,2020-09-16,43.81705,52.856107
Voters,2020-09-15,43.807024,52.79834
Adults,2020-09-15,41.303258,53.71976
Adults,2020-09-14,41.432106,53.577168
Voters,2020-09-14,43.844448,52.784307
Voters,2020-09-13,43.784654,52.836578
Adults,2020-09-13,41.340194,53.498731
Adults,2020-09-12,41.340194,53.498731
Voters,2020-09-12,43.021278,53.228217
Adults,2020-09-11,41.35091,53.518576
Voters,2020-09-11,43.021278,53.228217
Voters,2020-09-10,43.022355,53.225414
Adults,2020-09-10,41.512838,53.947723
Voters,2020-09-09,43.194505,53.188114
Adults,2020-09-09,41.145925,54.123225
Voters,2020-09-08,43.900108,52.18123
Adults,2020-09-08,41.436258,53.670444
Adults,2020-09-07,41.478483,53.612054
Voters,2020-09-07,44.052782,52.080897
Voters,2020-09-06,43.992693,52.120935
Adults,2020-09-06,41.52114,53.357716
Adults,2020-09-05,41.52114,53.357716
Voters,2020-09-05,43.992693,52.120935
Adults,2020-09-04,41.52114,53.357716
Voters,2020-09-04,43.992693,52.120935
Voters,2020-09-03,43.901355,52.202635
Adults,2020-09-03,41.52114,53.357716
Adults,2020-09-02,41.393013,53.415751
Voters,2020-09-02,43.889747,52.30807
Adults,2020-09-01,40.710184,55.451356
Voters,2020-09-01,44.523388,52.066883
Voters,2020-08-31,44.347452,52.253319
Adults,2020-08-31,40.523852,55.680858
Adults,2020-08-30,40.545451,55.667372
Voters,2020-08-30,42.931703,53.351105
Adults,2020-08-29,40.545451,55.667372
Voters,2020-08-29,42.931703,53.351105
Voters,2020-08-28,42.93757,53.354962
Adults,2020-08-28,40.591327,55.610336
Voters,2020-08-27,43.345831,53.374763
Adults,2020-08-27,40.520656,55.620215
Adults,2020-08-26,40.520656,55.620215
Voters,2020-08-26,43.226579,53.317282
Voters,2020-08-25,42.550279,53.830702
Adults,2020-08-25,40.24987,55.959876
Adults,2020-08-24,40.208898,56.024279
Voters,2020-08-24,42.553595,53.855702
Voters,2020-08-23,42.072002,54.114714
Adults,2020-08-23,40.820818,55.17111
Adults,2020-08-22,40.890804,55.074371
Voters,2020-08-22,42.178473,53.992381
Adults,2020-08-21,40.890804,55.074371
Voters,2020-08-21,42.109292,54.201881
Voters,2020-08-20,42.37188,53.92032
Adults,2020-08-20,41.195789,54.683667
Voters,2020-08-19,42.224615,53.990748
Adults,2020-08-19,41.218221,54.618022
Voters,2020-08-18,42.186708,54.096482
Adults,2020-08-18,41.311415,54.543188
Adults,2020-08-17,41.355919,54.578043
Voters,2020-08-17,42.110153,54.191626
Adults,2020-08-16,40.793108,54.771434
Voters,2020-08-16,42.393737,54.262631
Voters,2020-08-15,42.010432,54.57737
Adults,2020-08-15,40.470256,55.079899
Adults,2020-08-14,40.465576,55.045725
Voters,2020-08-14,41.996961,54.561362
Voters,2020-08-13,42.20424,54.554212
Adults,2020-08-13,40.544764,55.067581
Adults,2020-08-12,40.51487,55.077561
Voters,2020-08-12,42.414112,54.353929
Adults,2020-08-11,40.43112,55.254182
Voters,2020-08-11,42.086772,54.395714
Voters,2020-08-10,41.988932,54.359047
Adults,2020-08-10,40.3861,55.366146
Voters,2020-08-09,41.954913,54.403005
Adults,2020-08-09,40.426433,55.224679
Adults,2020-08-08,40.426433,55.224679
Voters,2020-08-08,41.954913,54.403005
Voters,2020-08-07,41.954913,54.403005
Adults,2020-08-07,40.426433,55.224679
Voters,2020-08-06,41.782422,54.515465
Adults,2020-08-06,40.392858,55.190094
Adults,2020-08-05,40.506257,55.13284
Voters,2020-08-05,41.865495,54.492144
Voters,2020-08-04,42.254478,53.97219
Adults,2020-08-04,40.113621,55.351746
Voters,2020-08-03,42.296033,53.944971
Adults,2020-08-03,39.902188,55.518688
Voters,2020-08-02,42.200055,54.114457
Adults,2020-08-02,40.016978,55.25875
Adults,2020-08-01,40.016978,55.25875
Voters,2020-08-01,42.200055,54.114457
Adults,2020-07-31,40.016978,55.25875
Voters,2020-07-31,42.200055,54.114457
Voters,2020-07-30,41.296759,54.677211
Adults,2020-07-30,40.017417,55.253604
Voters,2020-07-29,41.138476,55.346823
Adults,2020-07-29,39.967624,55.69492
Voters,2020-07-28,40.344463,55.964711
Adults,2020-07-28,39.671966,55.809461
Adults,2020-07-27,39.617738,55.872736
Voters,2020-07-27,40.383729,55.894016
Voters,2020-07-26,40.77583,55.596234
Adults,2020-07-26,39.158068,56.383385
Adults,2020-07-25,39.153046,56.344261
Voters,2020-07-25,40.77583,55.596234
Adults,2020-07-24,39.153046,56.344261
Voters,2020-07-24,40.77583,55.596234
Voters,2020-07-23,40.931297,55.482465
Adults,2020-07-23,39.071247,56.438804
Adults,2020-07-22,39.085916,56.389319
Voters,2020-07-22,40.849557,55.620706
Adults,2020-07-21,39.140021,56.532695
Voters,2020-07-21,40.844588,55.502363
Voters,2020-07-20,41.109678,55.407245
Adults,2020-07-20,39.474642,56.303323
Adults,2020-07-19,39.497713,56.197452
Voters,2020-07-19,41.139075,55.354458
Adults,2020-07-18,39.566988,56.265487
Voters,2020-07-18,40.739294,55.192133
Voters,2020-07-17,40.739294,55.192133
Adults,2020-07-17,39.566988,56.265487
Voters,2020-07-16,40.943184,55.005862
Adults,2020-07-16,39.63104,56.269399
Adults,2020-07-15,39.593906,56.300045
Voters,2020-07-15,40.902731,55.062059
Voters,2020-07-14,41.242419,54.527883
Adults,2020-07-14,39.66195,56.35825
Adults,2020-07-13,39.622797,56.042254
Voters,2020-07-13,41.132169,54.679219
Voters,2020-07-12,41.090612,55.286956000000004
Adults,2020-07-12,39.538852,55.968737
Adults,2020-07-11,39.538852,55.968737
Voters,2020-07-11,40.805233,55.548612
Adults,2020-07-10,39.538852,55.968737
Voters,2020-07-10,40.805233,55.548612
Voters,2020-07-09,40.740068,55.653048
Adults,2020-07-09,39.46973,55.996682
Voters,2020-07-08,40.721666,55.640398
Adults,2020-07-08,39.927464,55.884479
Voters,2020-07-07,40.863598,55.705694
Adults,2020-07-07,40.341115,55.733564
Adults,2020-07-06,40.127439,56.274332
Voters,2020-07-06,41.1416,55.573143
Voters,2020-07-05,40.985412,55.703865
Adults,2020-07-05,40.143646,56.410891
Adults,2020-07-04,40.143646,56.410891
Voters,2020-07-04,40.985412,55.703865
Adults,2020-07-03,40.143646,56.410891
Voters,2020-07-03,40.985412,55.703865
Voters,2020-07-02,40.895036,55.772391
Adults,2020-07-02,40.215539,56.337405
Adults,2020-07-01,40.135013,56.425815
Voters,2020-07-01,40.691403,56.069362
Adults,2020-06-30,40.083442,57.033869
Voters,2020-06-30,40.954983,55.809271
Voters,2020-06-29,41.138215,55.285319
Adults,2020-06-29,40.281183,56.777594
Voters,2020-06-28,40.923345,55.492882
Adults,2020-06-28,40.099868,56.873656
Adults,2020-06-27,40.099868,56.873656
Voters,2020-06-27,40.923345,55.492882
Voters,2020-06-26,40.923345,55.492882
Adults,2020-06-26,40.099868,56.873656
Voters,2020-06-25,40.82888,54.69656
Adults,2020-06-25,39.8699,55.865459
Adults,2020-06-24,39.842722,55.722476
