title_console,metascore,userscore,rel_date,url,metascore_critic_count,userscore_rating_count,genre,rating
God of War                                            (PS4),95,NA,"Apr 20, 2018",http://www.metacritic.com//game/playstation-4/god-of-war,83,NA,"ActionAdventure, Linear",M
Celeste                                            (XONE),94,6.4,"Jan 26, 2018",http://www.metacritic.com//game/xbox-one/celeste,9,102,"Action, Platformer, 2D",E10+
Celeste                                            (Switch),92,8.1,"Jan 25, 2018",http://www.metacritic.com//game/switch/celeste,31,276,"Action, Platformer, 2D",E10+
Bayonetta 2                                            (Switch),92,8.4,"Feb 16, 2018",http://www.metacritic.com//game/switch/bayonetta-2,32,125,"ActionAdventure, Linear",M
Shadow of the Colossus                                            (PS4),91,9.1,"Feb 6, 2018",http://www.metacritic.com//game/playstation-4/shadow-of-the-colossus,98,1261,"ActionAdventure, General",T
Celeste                                            (PS4),91,6,"Jan 25, 2018",http://www.metacritic.com//game/playstation-4/celeste,7,80,"Action, Platformer, 2D",E10+
Monster Hunter: World                                            (XONE),90,7.3,"Jan 26, 2018",http://www.metacritic.com//game/xbox-one/monster-hunter-world,17,275,"Role-Playing, ActionRPG",T
Monster Hunter: World                                            (PS4),90,8,"Jan 26, 2018",http://www.metacritic.com//game/playstation-4/monster-hunter-world,89,1104,"Role-Playing, ActionRPG",T
Into the Breach                                            (PC),90,7.5,"Feb 27, 2018",http://www.metacritic.com//game/pc/into-the-breach,52,147,"Strategy, Turn-Based, General",NA
Bayonetta + Bayonetta 2                                            (Switch),90,8.7,"Feb 16, 2018",http://www.metacritic.com//game/switch/bayonetta-+-bayonetta-2,25,178,"Miscellaneous, Compilation",M
Subnautica                                            (PC),88,8.1,"Jan 23, 2018",http://www.metacritic.com//game/pc/subnautica,34,308,"Adventure, General",E10+
Celeste                                            (PC),88,6.7,"Jan 25, 2018",http://www.metacritic.com//game/pc/celeste,16,111,"Action, Platformer, 2D",NA
Street Fighter V: Arcade Edition                                            (PS4),87,7.2,"Jan 16, 2018",http://www.metacritic.com//game/playstation-4/street-fighter-v-arcade-edition,36,193,"Action, Fighting, 2D",T
Dragon Ball FighterZ                                            (PS4),87,7.9,"Jan 26, 2018",http://www.metacritic.com//game/playstation-4/dragon-ball-fighterz,74,289,"Action, Fighting, 2D",T
Owlboy                                            (Switch),87,7.5,"Feb 13, 2018",http://www.metacritic.com//game/switch/owlboy,22,35,"ActionAdventure, General",E10+
Iconoclasts                                            (PC),87,7,"Jan 23, 2018",http://www.metacritic.com//game/pc/iconoclasts,21,36,"ActionAdventure, Open-World",NA
Crypt of the NecroDancer: Nintendo Switch Edition                                            (Switch),86,7.6,"Feb 1, 2018",http://www.metacritic.com//game/switch/crypt-of-the-necrodancer-nintendo-switch-edition,7,10,"Role-Playing, ActionRPG",T
Night in the Woods                                            (Switch),86,7.7,"Feb 1, 2018",http://www.metacritic.com//game/switch/night-in-the-woods,15,34,"ActionAdventure, General",T
Dragon Ball FighterZ                                            (XONE),86,7.6,"Jan 26, 2018",http://www.metacritic.com//game/xbox-one/dragon-ball-fighterz,24,57,"Action, Fighting, 2D",T
Shantae and the Pirate's Curse                                            (Switch),85,7.6,"Mar 20, 2018",http://www.metacritic.com//game/switch/shantae-and-the-pirates-curse,9,7,"Action, Platformer, 2D",E10+
Ni no Kuni II: Revenant Kingdom                                            (PS4),85,8.3,"Mar 23, 2018",http://www.metacritic.com//game/playstation-4/ni-no-kuni-ii-revenant-kingdom,73,314,"ActionRPG, Role-Playing, Japanese-Style",T
Final Fantasy XII: The Zodiac Age                                            (PC),85,5.7,"Feb 1, 2018",http://www.metacritic.com//game/pc/final-fantasy-xii-the-zodiac-age,11,32,"Role-Playing, Japanese-Style",T
Final Fantasy XV: Windows Edition                                            (PC),85,7.4,"Mar 6, 2018",http://www.metacritic.com//game/pc/final-fantasy-xv-windows-edition,27,229,"Role-Playing, ActionRPG",T
Dragon Ball FighterZ                                            (PC),85,7.7,"Jan 26, 2018",http://www.metacritic.com//game/pc/dragon-ball-fighterz,9,86,"Action, Fighting, 2D",T
