name,sale,lot,position,dealer,year,origin_author,origin_cat,school_pntg,diff_origin,logprice,price,count,subject,authorstandard,artistliving,authorstyle,author,winningbidder,winningbiddertype,endbuyer,Interm,type_intermed,Height_in,Width_in,Surface_Rect,Diam_in,Surface_Rnd,Shape,Surface,material,mat,materialCat,quantity,nfigures,engraved,original,prevcoll,othartist,paired,figures,finished,lrgfont,relig,landsALL,lands_sc,lands_elem,lands_figs,lands_ment,arch,mytho,peasant,othgenre,singlefig,portrait,still_life,discauth,history,allegory,pastorale,other
L1764-2,L1764,2,0.032786885,L,1764,F,O,F,1,5.886104031,360.0,1,L'enfant Jesus,"Grimou, Alexis",0,n/a,Grimou,Unknown,,,,,37,29.5,1091.5,,,squ_rect,1091.5,tableau,ta,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-3,L1764,3,0.049180328,L,1764,I,O,I,1,1.791759469,6.0,1,Homme portant un panier,"Fetti, Domenico",0,n/a,Féty,Unknown,,,,,18,14,252,,,squ_rect,252,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L1764-4,L1764,4,0.06557377,L,1764,X,O,D/FL,1,2.48490665,12.0,1,L'enfant Jesus & Saint Jean,"copy after Dyck, Sir Anthony van",0,copy after,copié d'après Wandeik,Unknown,,,,,13,16,208,,,squ_rect,208,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L1764-5a,L1764,5,0.081967213,L,1764,F,O,F,1,1.791759469,6.0,1,(2) Paysages & figures,"Hérault, Charles-Antoine",0,n/a,Hérault,Unknown,,,,,14,18,252,,,squ_rect,252,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-5b,L1764,5,0.081967213,L,1764,F,O,F,1,1.791759469,6.0,1,(2) Paysages & figures,"Hérault, Charles-Antoine",0,n/a,Hérault,Unknown,,,,,14,18,252,,,squ_rect,252,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-6,L1764,6,0.098360656,L,1764,X,O,I,1,2.197224577,9.0,1,L'amour qui dort sur un lit,"copy after Albani, Francesco",0,copy after,copié d'après l'Albanne,Unknown,,,,,7,10,70,,,squ_rect,70,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-7a,L1764,7,0.114754098,L,1764,F,O,F,1,2.48490665,12.0,1,(2) Venus qui retient Adonis; la mort d'Adonis,"Loir, Nicolas-Pierre",0,n/a,Nicolas Loire,Unknown,,,,,6,13,78,,,squ_rect,78,toile collés sur bois,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-7b,L1764,7,0.114754098,L,1764,F,O,F,1,2.48490665,12.0,1,(2) Venus qui retient Adonis; la mort d'Adonis,"Loir, Nicolas-Pierre",0,n/a,Nicolas Loire,Unknown,,,,,6,13,78,,,squ_rect,78,toile collés sur bois,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-8,L1764,8,0.131147541,L,1764,X,O,I,1,3.17805383,24.0,1,Danaé,"copy after Caliari (Veronese), Paolo",0,copy after,copié d'après Paul Veronese,Unknown,,,,,15,15,225,,,squ_rect,225,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-9a,L1764,9,0.147540984,L,1764,D/FL,O,D/FL,1,1.791759469,6.0,1,(2) Têtes de Vieillards marchant; tenant un pot,"Rijckaert III, David",0,n/a,Rikaers,Unknown,,,,,9,7,63,,,squ_rect,63,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-9b,L1764,9,0.147540984,L,1764,D/FL,O,D/FL,1,1.791759469,6.0,1,(2) Têtes de Vieillards marchant; tenant un pot,"Rijckaert III, David",0,n/a,Rikaers,Unknown,,,,,9,7,63,,,squ_rect,63,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-10a,L1764,10,0.163934426,L,1764,X,O,X,1,0.287681822,1.3,1,(3) Deux têtes d'Hommes; Paysage & Ruine,Anonymous,0,n/a,not specified,Unknown,,,,,16,12,192,,,squ_rect,192,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-10b,L1764,10,0.163934426,L,1764,X,O,X,1,0.287681822,1.3,1,(3) Deux têtes d'Hommes; Paysage & Ruine,Anonymous,0,n/a,not specified,Unknown,,,,,16,12,192,,,squ_rect,192,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-10c,L1764,10,0.163934426,L,1764,X,O,X,1,0.287681822,1.3,1,(3) Deux têtes d'Hommes; Paysage & Ruine,Anonymous,0,n/a,not specified,Unknown,,,,,16,12,192,,,squ_rect,192,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-11,L1764,11,0.180327869,L,1764,X,O,D/FL,1,2.48490665,12.0,1,Saint Martin de Boulogne,"study of Dyck, Sir Anthony van",0,study of,étude de Wandeik,Unknown,,,,,20,16,320,,,squ_rect,320,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
L1764-12a,L1764,12,0.196721311,L,1764,D/FL,O,D/FL,1,4.605170186,100.0,1,(2) Paysages & Figures,"Uden, Lucas van",0,n/a,Wannuden,Unknown,,,,,14,22,308,,,squ_rect,308,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-12b,L1764,12,0.196721311,L,1764,D/FL,O,D/FL,1,4.605170186,100.0,1,(2) Paysages & Figures,"Uden, Lucas van",0,n/a,Wannuden,Unknown,,,,,14,22,308,,,squ_rect,308,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-13a,L1764,13,0.213114754,L,1764,D/FL,O,D/FL,1,2.48490665,12.0,1,"(2) Figures, paysages & animaux",Bredael Family,0,n/a,Wenbreda,Unknown,,,,,15,20,300,,,squ_rect,300,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
