title,artist,link
Untitled (1963),[Unknown] Black,https://collections.ed.ac.uk/art/record/22024?highlight=*:*
Rooftops,A McIntosh,https://collections.ed.ac.uk/art/record/21465?highlight=*:*
Seated Male Nude (19 Nov 1958),A Robson,https://collections.ed.ac.uk/art/record/20937?highlight=*:*
Portrait of a Man (19 Nov 1958),A Robson,https://collections.ed.ac.uk/art/record/20936?highlight=*:*
Portrait of a Woman (1953),A Scott,https://collections.ed.ac.uk/art/record/21198?highlight=*:*
Poirtrait of a Man,A Sinclair,https://collections.ed.ac.uk/art/record/21440?highlight=*:*
Portrait of a Man,A Sinclair,https://collections.ed.ac.uk/art/record/21483?highlight=*:*
Portrait of a Man,A Sinclair,https://collections.ed.ac.uk/art/record/21471?highlight=*:*
Standing Male Nude,A Wrever,https://collections.ed.ac.uk/art/record/20859?highlight=*:*
Untitled (Unknown),A. Geraldine Gowan,https://collections.ed.ac.uk/art/record/21580?highlight=*:*
Untitiled (1934),A. Patterson Barclay,https://collections.ed.ac.uk/art/record/21803?highlight=*:*
Untitled,A. Thomas,https://collections.ed.ac.uk/art/record/111045?highlight=*:*
Portrait of a Woman in a Headdress,Adam Bruce Thomson,https://collections.ed.ac.uk/art/record/20828?highlight=*:*
Portrait of Man in a Hat (1951),Adam Hogg,https://collections.ed.ac.uk/art/record/21239?highlight=*:*
Kneeling Male Nude (1953),Adam M Martin,https://collections.ed.ac.uk/art/record/21058?highlight=*:*
Unttiled (Unknown),Adam M Martin,https://collections.ed.ac.uk/art/record/21830?highlight=*:*
Standing Male Nude (1952),Adam Robson,https://collections.ed.ac.uk/art/record/20809?highlight=*:*
Standing Male Nude with staff (1949-1952),Adam Robson,https://collections.ed.ac.uk/art/record/20812?highlight=*:*
Standing Male Nude (1952),Adam Robson,https://collections.ed.ac.uk/art/record/20810?highlight=*:*
Reclining Male Nude (25 Nov 1949),Adam Robson,https://collections.ed.ac.uk/art/record/20811?highlight=*:*
Architectural Drawing,Adri C Chrichton,https://collections.ed.ac.uk/art/record/21514?highlight=*:*
Untitled (2002),Adrian Rodriguez,https://collections.ed.ac.uk/art/record/99944?highlight=*:*
Untitled (2002),Ahjae Lim,https://collections.ed.ac.uk/art/record/99936?highlight=*:*
Portrait of Woman with Hand on her Head (1950),Ailsa Robertson,https://collections.ed.ac.uk/art/record/20803?highlight=*:*
Untitled (2006),Aimee Laporte,https://collections.ed.ac.uk/art/record/99880?highlight=*:*
Distortion 1 (2014),Ainsley Francis,https://collections.ed.ac.uk/art/record/47452?highlight=*:*
Distortion 2 (2014),Ainsley Francis,https://collections.ed.ac.uk/art/record/47453?highlight=*:*
Hill Fence (1976),Aitons Bytautus,https://collections.ed.ac.uk/art/record/50385?highlight=*:*
Baroque Nude (1959),Alan Alexander,https://collections.ed.ac.uk/art/record/21092?highlight=*:*
Portrait of a Seated Figure (1958),Alan Alexander,https://collections.ed.ac.uk/art/record/21164?highlight=*:*
Portrait of Woman in a Hat (1958),Alan Alexander,https://collections.ed.ac.uk/art/record/21165?highlight=*:*
Portrait of Woman Seated (1958),Alan Alexander,https://collections.ed.ac.uk/art/record/21166?highlight=*:*
Untitled (1955),Alan Bartram,https://collections.ed.ac.uk/art/record/99827?highlight=*:*
Untitled (1955),Alan Bartram,https://collections.ed.ac.uk/art/record/99828?highlight=*:*
Untitled (1971),Alan Brown,https://collections.ed.ac.uk/art/record/22020?highlight=*:*
Spring Board (Circa 1971),Alan Brown,https://collections.ed.ac.uk/art/record/22584?highlight=*:*
Unknown,Alan Chisholm,https://collections.ed.ac.uk/art/record/50405?highlight=*:*
Munich Olympics (1972),Alan Davie,https://collections.ed.ac.uk/art/record/21536?highlight=*:*
Abstract with Circles (Circa 1945),Alan Davie,https://collections.ed.ac.uk/art/record/20749?highlight=*:*
Fox Watch No.1 (1970),Alan Davie,https://collections.ed.ac.uk/art/record/21695?highlight=*:*
Standing Male Nude (1960s),Alan Dempster,https://collections.ed.ac.uk/art/record/21277?highlight=*:*
Unknown,Alan J Mcleod,https://collections.ed.ac.uk/art/record/53605?highlight=*:*
Unknown,Alan J Mcleod,https://collections.ed.ac.uk/art/record/53604?highlight=*:*
Portrait of a Man with a Beard (1959),Alan Kemp,https://collections.ed.ac.uk/art/record/20903?highlight=*:*
Portrait of a Man (1959),Alan Kemp,https://collections.ed.ac.uk/art/record/20902?highlight=*:*
Unknown (1946),Alan Lefley,https://collections.ed.ac.uk/art/record/50487?highlight=*:*
Unknown (1946),Alan Lefley,https://collections.ed.ac.uk/art/record/50485?highlight=*:*
Unknown (1946),Alan Lefley,https://collections.ed.ac.uk/art/record/50484?highlight=*:*
Unknown (1946),Alan Lefley,https://collections.ed.ac.uk/art/record/50486?highlight=*:*
Unknown (15 Feb 1956),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50593?highlight=*:*
Unknown (1956),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50597?highlight=*:*
11. Ann Monotype (1959),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50600?highlight=*:*
Unknown (1960),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50595?highlight=*:*
Unknown,Alan M. Alexander,https://collections.ed.ac.uk/art/record/50599?highlight=*:*
Still Life with Goblets (1959),Alan M. Alexander,https://collections.ed.ac.uk/art/record/22743?highlight=*:*
Unknown (1956),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50594?highlight=*:*
Unknown,Alan M. Alexander,https://collections.ed.ac.uk/art/record/50598?highlight=*:*
Unknown (1960),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50596?highlight=*:*
Head Monotype No. 24 (1959),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50592?highlight=*:*
Portrait of a Man in Red Shirt (1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/21423?highlight=*:*
Seated Female Nude (1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/21424?highlight=*:*
