name,country_parent,total,dems,repubs,year
7-Eleven,Japan/Seven & I Holdings,"$5,500","$1,000","$4,500",2018
ABB Group (ABB Group),Switzerland/Asea Brown Boveri,"$10,500","$4,000","$6,500",2018
Accenture (Accenture),Ireland/Accenture plc,"$177,000","$80,500","$96,500",2018
Advance America Cash Advance Centers (Grupo Salinas),Mexico/Grupo Salinas,"$89,000","$9,000","$80,000",2018
Air Liquide America,France/L'Air Liquide SA,"$49,512","$7,000","$42,512",2018
Airbus Group,Netherlands/Airbus Group,"$191,500","$65,500","$126,000",2018
Alkermes Inc,Ireland/Alkermes Plc,"$165,000","$65,500","$99,500",2018
Allergan PLC (Allergan PLC),Ireland/Allergan PLC,"$157,500","$26,000","$131,500",2018
Allianz of America (Allianz),Germany/Allianz AG Holding,"$89,750","$29,950","$59,800",2018
AMC Theatres (AMC Theatres),China/Wanda Group,"$6,479",$0,"$6,479",2018
AMG Vanadium,Netherlands/AMG Advanced Metallurgical Group,"$2,000",$0,"$2,000",2018
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$495,000","$241,000","$254,000",2018
AON Corp (AON plc),UK/AON PLC,"$117,700","$42,000","$75,700",2018
APL Ltd (CMA CGM),France/CMA CGM SA,"$7,500","$2,000","$5,500",2018
APL Maritime (CMA CGM),France/CMA CGM SA,"$12,500","$6,000","$5,500",2018
Aptiv PLC,UK/Delphi Automotive,"$5,000","$2,000","$3,000",2018
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,$250,$250,$0,2018
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$54,500","$25,500","$29,000",2018
Arch Capital Group (US),UK/Arch Capital Group,"$11,500","$4,000","$7,500",2018
Arkema Inc,France/Arkema,"$58,500","$26,000","$32,500",2018
Ash Grove (CRH Plc),Ireland/CRH PLC,"$44,500",$0,"$44,500",2018
Ashta Chemicals,Mexico/Bigshire Mexico,$0,$0,$0,2018
Ashton Woods Corp,Canada/Great Gulf Group,"$2,500",$0,"$2,500",2018
Assured Guaranty Municipal Corp (Assured Guaranty US Holdings),UK/Assured Guaranty Ltd,"$2,700",$0,"$2,700",2018
