name,country_parent,total,dems,repubs,year
ABB Group (ABB Group),Switzerland/Asea Brown Boveri,"$1,000","$1,000",$0,2020
Accenture (Accenture),Ireland/Accenture plc,"$75,500","$46,000","$29,500",2020
Advance America Cash Advance Centers (Grupo Salinas),Mexico/Grupo Salinas,"$3,000","$1,000","$2,000",2020
Air Liquide America,France/L'Air Liquide SA,"$11,500","$5,000","$6,500",2020
Airbus Group,Netherlands/Airbus Group,"$79,000","$26,500","$52,500",2020
Alkermes Inc,Ireland/Alkermes Plc,"$40,250","$11,250","$29,000",2020
Allergan PLC (Allergan PLC),Ireland/Allergan PLC,"$98,500","$6,000","$92,500",2020
Allianz of America (Allianz),Germany/Allianz AG Holding,"$34,500","$16,100","$18,400",2020
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$218,500","$109,000","$109,500",2020
AON Corp (AON plc),UK/AON PLC,"$29,500","$14,000","$15,500",2020
APL Maritime (CMA CGM),France/CMA CGM SA,"$14,000","$8,500","$5,500",2020
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,$0,$0,$0,2020
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$21,500","$4,000","$17,500",2020
Arch Capital Group (US),UK/Arch Capital Group,"$7,000","$3,500","$3,500",2020
Arkema Inc,France/Arkema,"$43,500","$17,000","$26,500",2020
Ash Grove (CRH Plc),Ireland/CRH PLC,$0,$0,$0,2020
Ashton Woods Corp,Canada/Great Gulf Group,$0,$0,$0,2020
Assured Guaranty Municipal Corp (Assured Guaranty US Holdings),UK/Assured Guaranty Ltd,"$67,500","$38,100","$29,400",2020
Astellas US,Japan/Astellas Pharma,"$40,000","$29,000","$11,000",2020
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$115,500","$53,500","$62,000",2020
Atkins North America,UK/WS Atkins PLC,"$9,700",$0,"$9,700",2020
Austal USA,Australia/Austal,"$6,200","$2,700","$3,500",2020
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$27,000","$10,500","$14,000",2020
AXA Equitable Life Insurance (AXA),France/AXA,"$41,000","$13,500","$27,500",2020
Bacardi USA,UK/Bacardi Ltd,"$11,500","$4,500","$6,000",2020
BAE Systems (BAE Systems),UK/BAE Systems,"$301,000","$147,000","$154,000",2020
Barclays Group US,UK/Barclays plc,"$18,000","$8,000","$10,000",2020
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$11,000","$6,500","$4,500",2020
BASF Corp,Germany/BASF SE,"$126,500","$57,500","$69,000",2020
Bayer Corp (Bayer AG),Germany/Bayer AG,"$103,000","$41,500","$61,500",2020
Bayer CropScience (Bayer AG),Germany/Bayer AG,"-$4,500","-$4,500",$0,2020
BBVA USA,Spain/Banco Bilbao Vizcaya Argentaria,"$154,500","$44,000","$110,500",2020
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$14,331","$9,500","$4,831",2020
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,$0,$0,$0,2020
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$80,300","$37,800","$42,500",2020
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$48,500","$23,000","$25,500",2020
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$27,500","$17,500","$10,000",2020
BP,UK/BP PLC,"$104,500","$28,000","$76,500",2020
Bridgestone Americas,Japan/Bridgestone Corp,"$7,500","$2,500","$5,000",2020
Bumble Bee Foods,UK/Lion Capital,"$1,000","$1,000",$0,2020
"Burson, Cohn & Wolfe (WPP Group)",UK/WPP Group,"$21,000","$8,500","$12,500",2020
Buzzi Unicem USA (Buzzi Unicem SpA),Italy/Buzzi Unicem SpA,$500,$0,$500,2020
CalPortland Co,Japan/Taiheiyo Cement Co,"$30,000","$10,000","$20,000",2020
Cardtronics Inc,UK/Cardtronics Plc,$0,$0,$0,2020
Carmeuse Lime,Netherlands/Carmeuse Holding SA,$0,$0,$0,2020
Case New Holland,Netherlands/CNH Global,"$36,500","$1,500","$35,000",2020
CEMEX Inc,Mexico/CEMEX SA de CV,"$56,000","$23,500","$32,500",2020
CGI Technologies & Solutions,Canada/Groupe CGI,"$12,500","$7,500","$5,000",2020
Chicago Bridge & Iron (McDermott International),Panama/McDermott International,"$5,470",$470,"$5,000",2020
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$76,000","$28,500","$47,500",2020
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$3,000","$2,000","$1,000",2020
Cirrus Aircraft Corp,China/China Aviation Industry General Aircraft,"$1,500","$1,500",$0,2020
Cobham Management Services,UK/Cobham PLC,"$64,000","$13,500","$50,500",2020
Continental Automotive Systems (Continental AG),Germany/Continental AG,"$17,500","$8,500","$9,000",2020
Covestro LLC (Covestro AG),Germany/Covestro AG,"$17,500","$2,000","$15,500",2020
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$22,000","$6,000","$16,000",2020
CRH Americas (CRH PLC),Ireland/CRH PLC,"$236,500","$56,500","$180,000",2020
CSL Behring,Australia/CSL Ltd,"$30,000","$13,500","$16,500",2020
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,"$2,500",$0,"$2,500",2020
Delhaize America,Belgium/Ahold Delhaize,"$3,500","$1,000","$2,500",2020
Deutsche Bank Securities,Germany/Deutsche Bank AG,$0,$0,$0,2020
Diageo North America (Diageo PLC),UK/Diageo PLC,"$20,108","$11,060","$9,048",2020
Direct Energy Inc,UK/Centrica Plc,$0,$0,$0,2020
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$13,000","$4,500","$8,500",2020
EDF Renewables (EDF Group),France/EDF Group,"$8,000","$4,500","$3,500",2020
EDP Renewables NA,Portugal/EDP Renovaveis,"$9,000","$4,000","$5,000",2020
Eisai Inc,Japan/Eisai Co Ltd,"$2,500","$2,500",$0,2020
Elbit Systems of America,Israel/Elbit Systems Ltd,"$34,600","$6,600","$28,000",2020
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$27,500","$12,000","$15,500",2020
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$18,000","$5,000","$13,000",2020
EMD Serono Inc,Germany/Merck KGaA,"$53,500","$28,500","$25,000",2020
Enbridge Inc,Canada/Enbridge Inc,"$12,500","$4,500","$8,000",2020
EnCana Oil & Gas USA (EnCana Corp),Canada/EnCana Corp,"$19,500","$5,000","$14,500",2020
Endo Pharmaceuticals,Ireland/Endo International,$0,$0,$0,2020
ENGIE North America,France/ENGIE,$0,$0,$0,2020
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$10,500","$5,000","$5,500",2020
Experian,UK/Experian plc,"$264,500","$119,500","$145,000",2020
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$83,500","$32,500","$51,000",2020
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,$0,$0,$0,2020
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$34,000","$13,500","$20,500",2020
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,$500,$500,$0,2020
Framatome (EDF Group),France/EDF Group,"$16,000","$14,000","$2,000",2020
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$169,500","$93,500","$76,000",2020
G4S Secure Solutions,UK/G4S plc,$0,$0,$0,2020
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$7,000",$0,"$7,000",2020
GE Appliances,China/Haier Group,"$8,500","$5,000","$3,500",2020
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$215,000","$97,500","$117,500",2020
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0,$0,$0,2020
Gerdau Ameristeel Corp,Brazil/Gerdau,"$2,000",$0,"$2,000",2020
Glanbia Foods,Ireland/Glanbia PLC,$0,$0,$0,2020
GlaxoSmithKline,UK/GlaxoSmithKline,"$76,000","$30,000","$46,000",2020
Glover Park Group (WPP Group),UK/WPP Group,"$58,700","$43,200","$15,500",2020
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$4,000",$0,"$4,000",2020
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,$0,$0,$0,2020
Greyhound Lines,UK/FirstGroup PLC,"$7,500","$6,500","$1,000",2020
Headwaters Inc,Australia/Boral Ltd,"$10,000",$0,"$10,000",2020
Heineken USA,Netherlands/L'Arche Green NV,"$20,500","$11,500","$9,000",2020
Herbalife Nutrition,UK/Herbalife Ltd,"$49,000","$32,000","$17,000",2020
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$31,000","$7,500","$23,500",2020
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$60,000","$7,500","$52,500",2020
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$1,000",$0,"$1,000",2020
IBI Group Engineering Services,Canada/IBI Group,$0,$0,$0,2020
IDEMIA Identity & Security (IDEMIA),France/Safran SA,"$6,000","$2,500","$3,500",2020
Infineon Technologies,Germany/Infineon Technologies AG,"$7,500","$5,500","$2,000",2020
Ingersoll-Rand,Ireland/Ingersoll Rand Co,"$2,000",$0,"$2,000",2020
Intelsat Holdings (Serafina SA),Luxembourg/Intelsat SA,"$1,500",$0,"$1,500",2020
International Game Technology,Italy/B&D Holding Di Marco Drago e C Sapa,"$16,000","$10,000","$6,000",2020
ITG Brands,UK/Imperial Brands,$0,$0,$0,2020
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$40,000","$3,500","$36,500",2020
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$98,000","$33,000","$65,000",2020
JBS USA,Brazil/JBS SA,"$16,000","$2,000","$14,000",2020
John Hancock Life Insurance,Canada/Manulife Financial,"$47,900","$28,500","$19,400",2020
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$139,900","$68,900","$71,000",2020
Komatsu Mining,Japan/Komatsu Ltd,"$16,500",$0,"$16,500",2020
LafargeHolcim (LafargeHolcim),Switzerland/LaFargeHolcim,"$30,000","$3,500","$26,500",2020
Lanxess Corp,Germany/Lanxess Corp,"$1,000",$500,$500,2020
Lehigh Hanson,Germany/HeidelbergCement AG,"$38,500","$7,500","$31,000",2020
Leonardo DRS,Italy/Finmeccanica SpA,"$46,000","$23,000","$23,000",2020
Lincare Holdings (Linde plc),UK/Linde plc,"$4,500",$0,"$4,500",2020
Linde North America (Linde plc),UK/Linde plc,$0,$0,$0,2020
Linde plc (Linde plc),UK/Linde Plc,"$7,000","$6,000","$1,000",2020
Livanova Inc,UK/Livanova Plc,"$1,000",$0,"$1,000",2020
Louis Dreyfus Co,Netherlands/Louis Dreyfus Holding B.V.,$0,$0,$0,2020
LSEG US,UK/London Stock Exchange Group,"$18,000","$8,500","$9,500",2020
Lundbeck Inc,Denmark/H Lundbeck A/S,"$36,500","$18,500","$18,000",2020
Maersk Inc (AP Moller-Maersk),Denmark/AP Møller-Mærsk,"$18,500","$11,500","$7,000",2020
Magnolia LNG,Australia/LNG Limited,$0,$0,$0,2020
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"$31,000","$10,000","$21,000",2020
Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$9,500","$3,500","$6,000",2020
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$2,500",$0,"$2,500",2020
Maxar Technologies (Maxar Technologies),Canada/Maxar Technologies,"$30,000","$9,000","$21,000",2020
MBDA Inc,UK/MBDA,$0,$0,$0,2020
Medtronic Inc,Ireland/Medtronic Plc,"$97,500","$47,500","$50,000",2020
Messer North America,Germany/Messer Group,$0,$0,$0,2020
MillerCoors LLC (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$28,000","$10,500","$17,500",2020
Mitsubishi Hitachi Power Systems,Japan/Mitsubishi Hitachi Power Systems,"$1,000",$0,"$1,000",2020
Mr Cooper Group (SoftBank Corp),Japan/SoftBank Corp,"$8,000","$2,000","$6,000",2020
Munich American Reassurance,Germany/Munich Re Group,"$5,000","$5,000",$0,2020
Mylan Inc,Netherlands/Mylan NV,"$109,500","$55,500","$54,000",2020
Nammo Talley Inc,Norway/Nammo AS,"$3,500","$1,000","$2,500",2020
National Grid USA (National Grid plc),UK/National Grid plc,"$12,800","$9,800","$3,000",2020
Natixis Investment Managers,France/Groupe BPCE,"$4,011","$1,000","$3,011",2020
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle,"$2,000",$0,"$2,000",2020
Nomura Holding America,Japan/Nomura Holdings,"$32,000","$22,500","$9,500",2020
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,$0,$0,$0,2020
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$131,500","$58,500","$73,000",2020
Novo Nordisk,Denmark/Novo Nordisk A/S,"$120,013","$60,927","$59,086",2020
Novocure Inc,UK/Novocure,"$26,800",$0,"$26,800",2020
Nutrien Ag Solutions,Canada/Nutrien Ltd,"$8,500","$1,000","$7,500",2020
Orano USA (Orano Group),France/Orano Group,"$1,500",$0,"$1,500",2020
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$2,500",$500,"$2,000",2020
Pernod Ricard USA,France/Pernod Ricard SA,"$2,000",$0,"$2,000",2020
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,$0,$0,$0,2020
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$24,000","$11,000","$13,000",2020
Philips Electronics North America (Philips),Netherlands/Philips Electronics,"$32,000","$17,000","$15,000",2020
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$57,300","$10,000","$47,300",2020
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$5,237",$0,"$5,237",2020
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$11,000","$6,000","$5,000",2020
Recurrent Energy,Canada/Canadian Solar,$0,$0,$0,2020
RELX Inc,UK/RELX Group,"$128,000","$50,000","$78,000",2020
Resolute Forest Products,Canada/Resolute Forest Products,"$20,500","$2,000","$18,500",2020
Reynolds American (British American Tobacco),UK/British American Tobacco plc,"$96,000","$31,000","$65,000",2020
Rio Tinto America,UK/Rio Tinto Group,"$3,500",$0,"$3,500",2020
Roche Diagnostics (Roche Holdings),Switzerland/Roche Holdings,"$31,000","$10,500","$20,500",2020
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$114,500","$38,000","$76,500",2020
Safelite Group,Belgium/D'Ieteren SA,"-$3,000",$0,"-$3,000",2020
Samsung Electronics America,South Korea/Samsung Group,"$63,500","$33,500","$30,000",2020
Sanofi US (Sanofi),France/Sanofi,"$128,500","$69,000","$59,500",2020
Santander Bank (Banco Santander),Spain/Banco Santander,"$45,500","$22,000","$23,500",2020
SAP America,Germany/SAP Aktiengesellschaft,"$6,000","$6,000",$0,2020
Securitas Security Services USA,Sweden/Securitas AB,$0,$0,$0,2020
Serco Inc,UK/Serco Group,"$23,500","$13,500","$10,000",2020
Shell Oil,Netherlands/Royal Dutch-Shell Group,"$4,000",$0,"$4,000",2020
Shire Holdings US (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"-$12,500","-$1,500","-$11,000",2020
Siemens Corp,Germany/Siemens AG,"$39,500","$20,500","$19,000",2020
Smith & Nephew,UK/Smith & Nephew Plc,"$34,500","$14,000","$20,500",2020
Smithfield Foods,China/WH Group,"$20,000","$3,500","$16,500",2020
Smiths Group Services Corp (Smiths Group),UK/Smiths Group PLC,"$26,000","$13,500","$12,500",2020
Sodexo Inc,France/Sodexo,"$3,000",$0,"$3,000",2020
Solvay America,Belgium/Solvay SA,"$20,000","$8,500","$11,500",2020
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$67,000","$45,500","$21,500",2020
Sprint Corp (SoftBank Corp),Japan/Softbank Corp,"$87,000","$39,500","$47,500",2020
SSAB Americas,Sweden/SSAB AB,"$7,500",$500,"$7,000",2020
Standard Insurance Co,Japan/Meiji Yasuda Life Insurance,$0,$0,$0,2020
Steris Corp,UK/Steris PLC,"$5,750","$5,500",$250,2020
SUEZ Water,France/SUEZ Environnement,"$2,500","$1,500","$1,000",2020
Sun Life Financial (Sun Life Financial),Canada/Sun Life Financial,"$39,000","$27,500","$9,000",2020
Sunovion Pharmaceuticals (Sumitomo Chemical),Japan/Sumitomo Chemical,"$38,000","$18,000","$20,000",2020
Sunpower Corp,France/Total SA,"$4,500","$4,500",$0,2020
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$1,000",$0,"$1,000",2020
Swiss Re America,Switzerland/Swiss Re,"$61,000","$38,500","$22,500",2020
Syngenta Corp,China/ChemChina,"$23,500","$8,500","$15,000",2020
T-Mobile USA,Germany/Deutsche Telekom AG,"$365,500","$185,000","$179,500",2020
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$24,500","$11,500","$13,000",2020
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$5,000","$1,000","$4,000",2020
TD Bank USA,Canada/Toronto-Dominion Bank,"$55,700","$19,700","$36,000",2020
TE Connectivity,Switzerland/TE Connectivity,"$22,000","$6,000","$16,000",2020
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$10,500","$6,500","$4,000",2020
Toyota Motor North America,Japan/Toyota Motor Corp,"$391,100","$186,000","$205,100",2020
TransAmerica,Netherlands/Aegon NV,"$242,500","$120,000","$122,500",2020
Transcanada USA Services (Transcanada Corp),Canada/TransCanada Corp,"$57,500","$16,500","$41,000",2020
Travelport Inc,UK/Travelport Ltd,$0,$0,$0,2020
UBS Americas,Switzerland/UBS AG,"$607,500","$239,500","$368,000",2020
UCB Inc (UCB SA),Belgium/UCB SA,"$2,500","$1,500","$1,000",2020
Ultra Electronics USA,UK/Ultra Electronics,"$15,000","$5,000","$10,000",2020
Universal Music Group (Vivendi),France/Vivendi,"$48,500","$25,500","$23,000",2020
Valent USA (Sumitomo Chemical),Japan/Sumitomo Chemical,"$6,500","$3,500","$3,000",2020
VNA Holding (AB Volvo),Sweden/AB Volvo,"$16,000","$4,000","$12,000",2020
VT Halter Marine,Singapore/ST Engineering,"$5,200",$0,"$5,200",2020
Washington Gas Light Co (AltaGas Ltd),Canada/AltaGas Ltd,"$6,500","$6,500",$0,2020
Westinghouse Electric,Canada/Brookfield Business Partners,"$15,500","$3,500","$12,000",2020
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,$0,$0,$0,2020
WSP worldwide,Canada/WSP Global,"$49,750","$39,250","$10,500",2020
ZF TRW Automotive (ZF Friedrichshafen AG),Germany/ZF Friedrichshafen AG,$0,$0,$0,2020
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$84,000","$56,000","$28,000",2020
