name,country_parent,total,dems,repubs
ABB Group (ABB Group),Switzerland/Asea Brown Boveri,"$1,000","$1,000",$0
Accenture (Accenture),Ireland/Accenture plc,"$75,500","$46,000","$29,500"
Advance America Cash Advance Centers (Grupo Salinas),Mexico/Grupo Salinas,"$3,000","$1,000","$2,000"
Air Liquide America,France/L'Air Liquide SA,"$11,500","$5,000","$6,500"
Airbus Group,Netherlands/Airbus Group,"$79,000","$26,500","$52,500"
Alkermes Inc,Ireland/Alkermes Plc,"$40,250","$11,250","$29,000"
Allergan PLC (Allergan PLC),Ireland/Allergan PLC,"$98,500","$6,000","$92,500"
Allianz of America (Allianz),Germany/Allianz AG Holding,"$34,500","$16,100","$18,400"
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$218,500","$109,000","$109,500"
AON Corp (AON plc),UK/AON PLC,"$29,500","$14,000","$15,500"
APL Maritime (CMA CGM),France/CMA CGM SA,"$14,000","$8,500","$5,500"
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,$0,$0,$0
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$21,500","$4,000","$17,500"
Arch Capital Group (US),UK/Arch Capital Group,"$7,000","$3,500","$3,500"
Arkema Inc,France/Arkema,"$43,500","$17,000","$26,500"
Ash Grove (CRH Plc),Ireland/CRH PLC,$0,$0,$0
Ashton Woods Corp,Canada/Great Gulf Group,$0,$0,$0
Assured Guaranty Municipal Corp (Assured Guaranty US Holdings),UK/Assured Guaranty Ltd,"$67,500","$38,100","$29,400"
Astellas US,Japan/Astellas Pharma,"$40,000","$29,000","$11,000"
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$115,500","$53,500","$62,000"
Atkins North America,UK/WS Atkins PLC,"$9,700",$0,"$9,700"
Austal USA,Australia/Austal,"$6,200","$2,700","$3,500"
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$27,000","$10,500","$14,000"
AXA Equitable Life Insurance (AXA),France/AXA,"$41,000","$13,500","$27,500"
Bacardi USA,UK/Bacardi Ltd,"$11,500","$4,500","$6,000"
BAE Systems (BAE Systems),UK/BAE Systems,"$301,000","$147,000","$154,000"
Barclays Group US,UK/Barclays plc,"$18,000","$8,000","$10,000"
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$11,000","$6,500","$4,500"
BASF Corp,Germany/BASF SE,"$126,500","$57,500","$69,000"
Bayer Corp (Bayer AG),Germany/Bayer AG,"$103,000","$41,500","$61,500"
Bayer CropScience (Bayer AG),Germany/Bayer AG,"-$4,500","-$4,500",$0
BBVA USA,Spain/Banco Bilbao Vizcaya Argentaria,"$154,500","$44,000","$110,500"
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$14,331","$9,500","$4,831"
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$80,300","$37,800","$42,500"
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,$0,$0,$0
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$48,500","$23,000","$25,500"
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$27,500","$17,500","$10,000"
BP,UK/BP PLC,"$104,500","$28,000","$76,500"
Bridgestone Americas,Japan/Bridgestone Corp,"$7,500","$2,500","$5,000"
Bumble Bee Foods,UK/Lion Capital,"$1,000","$1,000",$0
"Burson, Cohn & Wolfe (WPP Group)",UK/WPP Group,"$21,000","$8,500","$12,500"
