name,country,parent,total,dems,repubs,year
ABB Daimler-Benz Transportation,Germany,Daimler-Benz AG,15775,10775,5000,1998
ABB Group,Switzerland,Asea Brown Boveri,48500,19750,28750,1998
AE Staley Manufacturing (Tate & Lyle),UK,Tate & Lyle,30500,3500,27000,1998
AEGON USA (AEGON USA),Netherlands,Aegon NV,41700,10100,31600,1998
Alcatel USA,France,Alcatel,31000,8500,22500,1998
Allied Domecq Spirits & Wine,UK,Allied Domecq,39500,11000,28500,1998
APL Ltd,Singapore,Neptune Orient Lines,41983,18060,23923,1998
Aqua-Chem Inc,France,Lyonnaise des Eaux-Dumez Group,11800,1200,10600,1998
Ares-Serono Inc,Switzerland,Serono SA,6357,5857,500,1998
Bacardi Corp,UK,Bacardi Ltd,0,0,0,1998
Bacardi-Martini USA,UK,Bacardi Ltd,8500,3500,5000,1998
BASF Corp,Germany,BASF Group,0,0,0,1998
Bayer Corp,Germany,Bayer AG,186500,50250,136250,1998
Bear Creek Corp (Shaklee Corp),Japan,Yamanouchi Pharmaceutical,5000,2500,2500,1998
BHP Copper (Broken Hill Proprietary),Australia,Broken Hill Proprietary,7450,1000,6450,1998
BHP Minerals International (Broken Hill Proprietary),Australia,Broken Hill Proprietary,10250,4500,5750,1998
BHP Petroleum Americas (Broken Hill Proprietary),Australia,Broken Hill Proprietary,2600,2500,100,1998
Blue Circle America,UK,Blue Circle Industries,31850,2250,29600,1998
BOC Group,UK,BOC Group,0,0,0,1998
BP America,UK,British Petroleum Co,122361,31250,91111,1998
Brown & Williamson Tobacco,UK,BAT Industries,350821,90000,260821,1998
Budd Co,Germany,Thyssen,16600,1500,15100,1998
Ciba Specialty Chemicals,Switzerland,Ciba Specialty Chemicals Holding Inc,15000,2000,13000,1998
CIBC Oppenheimer,Canada,Canadian Imperial Bank of Commerce,0,0,0,1998
Credit Suisse First Boston,Switzerland,Credit Suisse Group,188750,90500,98250,1998
DaimlerChrysler (DaimlerChrysler),Germany,DaimlerChrysler AG,493386,192936,300450,1998
"Donaldson, Lufkin & Jenrette (Equitable Companies)",France,AXA Group SA,3000,1000,2000,1998
Electrocom Automation Inc,Germany,Daimler-Benz,1800,0,1800,1998
Elf Atochem North America,France,Elf Aquitaine,26600,6700,19900,1998
Equitable Companies (Equitable Companies),France,AXA Group SA,124500,60500,64000,1998
Equitable of Iowa Companies (ING Americas),Netherlands,ING Group,6900,1000,5900,1998
Essroc Corp,Italy,Italcementi Group,1000,1000,0,1998
Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services,22175,2000,20175,1998
Fina Inc,Belgium,Petrofina,11050,5000,6050,1998
First Maryland Bancorp,Ireland,Allied Irish Banks,8800,4475,4325,1998
Food Lion,Belgium,Delhaize Group,39416,12707,26709,1998
Fortis Inc,Belgium,Fortis AG,500,0,500,1998
Fox Inc (News Corporation),Australia,News Corp,25134,10134,15000,1998
GEC-Marconi Electronic Systems (Marconi North America),UK,General Electric Co PLC,27600,10600,17000,1998
Genentech Inc (Roche Group),Switzerland,Roche Group,96704,53704,43000,1998
Glaxo Wellcome Inc,UK,Glaxo Wellcome,406001,110825,295176,1998
Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,11475,5225,6250,1998
Great-West Life & Annuity Insurance,Canada,Power Financial Corp,47950,3000,44950,1998
Gulfstream Aerospace,Germany,DaimlerChrysler AG,27000,10500,16500,1998
Heublein Inc,UK,Diageo PLC,28800,11300,17500,1998
Hill & Knowlton (WPP Group),UK,WPP Group,54575,26325,28250,1998
Hoechst Celanese Corp (Hoechst Corp),Germany,Hoechst AG,74500,29500,45000,1998
Hoechst Marion Roussel (Hoechst Corp),Germany,Hoechst AG,44256,12000,32256,1998
Hoffmann-La Roche (Roche Group),Switzerland,Roche Group,95049,31499,63550,1998
Holnam Inc,Switzerland,Holderbank Financiere Glaris,47062,13778,33284,1998
HSBC Americas,UK,HSBC Holdings,10930,6700,4230,1998
ICI Americas Inc,UK,Imperial Chemical Industries,4750,2000,2750,1998
Jackson National Life Insurance,UK,Prudential Corp PLC,46300,17100,29200,1998
Joseph E Seagram & Sons (Joseph E Seagram & Sons),Canada,Seagram Co,136190,56012,80178,1998
Kennecott Holdings,UK,Rio Tinto PLC,33500,8000,25500,1998
LaFarge Corp,France,Lafarge SA,24750,10200,14550,1998
LaSalle National Corp,Netherlands,ABN Amro Holding,19500,8500,11000,1998
Learjet Inc,Canada,Bombardier Inc,3500,0,3500,1998
Lehigh Portland Cement,Germany,Heidelberger Zement,0,0,0,1998
Life Insurance Co of Georgia (ING Americas),Netherlands,ING Group,26000,7000,19000,1998
Loral Space & Communications,UK,Loral Space & Communications,127750,85750,42000,1998
Marconi North America (Marconi North America),UK,General Electric Co PLC,290750,103200,187550,1998
Massachusetts Financial Services,Canada,Sun Life Financial Services,25000,8500,16500,1998
Master Builders Inc (Novartis Corp),Switzerland,Sandoz,2500,500,2000,1998
Nestle USA (Nestle SA),Switzerland,Nestle,58000,15000,43000,1998
News America Publishing (News Corporation),Australia,News Corp,48000,14000,34000,1998
Northern Telecom,Canada,BCE Inc,92379,46266,46113,1998
Novartis Corp (Novartis Corp),Switzerland,Novartis AG,-1250,0,-1250,1998
Novartis Corp (Novartis AG),Switzerland,Novartis AG,157013,44500,112513,1998
Organon Inc,Netherlands,Akzo Nobel,0,0,0,1998
Pasteur Merieux Connaught (Rhone-Poulenc Rorer Inc),France,Rhone-Poulenc,88500,43000,45500,1998
Perrier Group of America (Nestle SA),Switzerland,Nestle,10750,4250,6500,1998
Peter Pan Seafoods,Japan,Nichiro Corp,2100,-250,2350,1998
Philips Electronics North America,Netherlands,Philips Electronics,59325,11650,47675,1998
Pillsbury Co,UK,Diageo PLC,16600,3500,13100,1998
Pinkerton Tobacco,Sweden,Swedish Match AB,48250,17250,31000,1998
Princess Cruises,UK,Peninsular & Oriental Steam Navigation,53250,17500,35750,1998
Providian Corp (AEGON USA),Netherlands,Aegon NV,32900,200,32700,1998
Racal-Datacom,UK,Platinum Equity Holdings,0,0,0,1998
Rhone-Poulenc Rorer Inc (Rhone-Poulenc Rorer Inc),France,Rhone-Poulenc,33500,16000,17500,1998
Rhone-Poulenc Rorer Inc (Rhone-Poulenc Rorer Inc),France,Rhone-Poulenc,42750,6000,36750,1998
Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls Royce,55159,13898,41261,1998
SBC Warburg Dillon Read,Switzerland,UBS AG,0,0,0,1998
"Schroder, Wertheim & Co",UK,Schroders PLC,0,0,0,1998
Security Life of Denver (ING Americas),Netherlands,ING Group,22400,5000,17400,1998
Shaklee Corp (Shaklee Corp),Japan,Yamanouchi Pharmaceutical,13500,4000,9500,1998
Shell Oil,Netherlands,Royal Dutch-Shell Group,113500,27500,86000,1998
SmithKline Beecham,UK,SmithKline Beecham,138750,51250,87500,1998
Sony Pictures Entertainment (Sony Corp of America),Japan,Sony Corp,108500,47750,60750,1998
Syntex (USA) Inc,Switzerland,Roche Holdings,12666,11666,1000,1998
Tate & Lyle North American Sugars (Tate & Lyle),UK,Tate & Lyle,9900,9800,100,1998
UnionBanCal Corp,Japan,Bank of Tokyo,10500,4500,6000,1998
Universal Studios (Joseph E Seagram & Sons),Canada,Seagram Co,210100,90500,119600,1998
US Surgical Corp,Ireland,Tyco International,65550,23050,42500,1998
Wexler Group (WPP Group),UK,WPP Group,112098,47498,64600,1998
Zeneca Inc (Zeneca Inc),UK,Zeneca Group PLC,125077,33827,91250,1998
Zeneca Inc (Zeneca Inc),UK,Zeneca Group PLC,0,0,0,1998
Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services,55050,15550,39500,1998
7-Eleven,Japan,Ito-Yokado,8500,1500,7000,2000
ABB Group,Switzerland,Asea Brown Boveri,46000,17000,28500,2000
Accenture,Bermuda,Accenture plc,75984,23000,52984,2000
ACE INA,UK,ACE Group,38500,12500,26000,2000
Acuson Corp (Siemens AG),Germany,Siemens AG,2000,2000,0,2000
Adtranz (DaimlerChrysler),Germany,DaimlerChrysler AG,10500,10000,500,2000
AE Staley Manufacturing (Tate & Lyle),UK,Tate & Lyle,24000,10000,14000,2000
AEGON USA (AEGON USA),Netherlands,Aegon NV,58250,10500,47750,2000
AIM Management Group,UK,AMVESCAP,25000,10000,15000,2000
Air Liquide America,France,L'Air Liquide SA,0,0,0,2000
Alcatel USA,France,Alcatel,21000,6000,15000,2000
Aliant Communications,Canada,BCE,2000,1000,1000,2000
Allfirst Financial,Ireland,Allied Irish Banks,11900,6950,4950,2000
Allied Domecq Spirits & Wine,UK,Allied Domecq,41800,6200,35600,2000
Anglogold Ltd,UK,Anglo American PLC,14000,4000,10000,2000
APL Ltd,Singapore,Neptune Orient Lines Ltd,20200,5450,14750,2000
Aqua-Chem Inc,France,Lyonnaise des Eaux-Dumez Group,1639,0,1639,2000
ASARCO LLC,Mexico,Nueva Grupo Mexico,20735,2000,18735,2000
AstraZeneca Pharmaceuticals (AstraZeneca Pharmaceuticals),UK,AstraZeneca,131155,28250,102905,2000
Atlantic Richfield (BP),UK,BP PLC,106454,30979,75475,2000
ATOFINA Chemicals (ATOFINA),France,TOTAL FINA ELF,25650,5650,20000,2000
ATOFINA Petrochemicals (ATOFINA),France,TOTAL FINA ELF,25000,9250,15750,2000
Aventis CropScience (Aventis),France,Aventis,23500,12500,11000,2000
Aventis Pasteur USA (Aventis),France,Aventis,107500,54500,53000,2000
Aventis Pharmaceuticals (Aventis),France,Aventis,18000,1500,16500,2000
Aventis Pharmaceuticals Products (Aventis),France,Aventis,48700,7500,41200,2000
Bacardi USA (Bacardi USA),UK,Bacardi Ltd,500,0,500,2000
Bacardi USA (Bacardi USA),UK,Bacardi Ltd,0,0,0,2000
BAE Systems North America (BAE Systems),UK,BAE Systems,243639,98580,145059,2000
Barrick Goldstrike Mines,Canada,Barrick Gold Corp,73250,20075,53175,2000
BASF Corp,Germany,BASF Group,219250,31500,185750,2000
Bayer Corp,Germany,Bayer AG,245500,57500,188000,2000
Bear Creek Corp (Shaklee Corp),Japan,Yamanouchi Pharmaceutical,4500,1500,3000,2000
BHP Holdings,Australia,BHP Limited,4250,1500,2750,2000
Bird-Johnson Co (Rolls-Royce North America),UK,Rolls-Royce International,6500,4000,2500,2000
Blue Circle America,UK,Blue Circle Industries,31500,5000,26500,2000
BOC Group,UK,BOC Group,0,0,0,2000
BP (BP),UK,BP PLC,204000,56500,147500,2000
BP (BP),UK,BP PLC,-3000,-3000,0,2000
Brinson Partners,Switzerland,UBS AG,0,0,0,2000
Brown & Williamson Tobacco,UK,BAT Industries,363550,116500,243050,2000
Budd Co,Germany,ThyssenKrupp Steel,14000,1000,13000,2000
Burson-Marsteller (WPP Group),UK,WPP Group,83500,46500,37000,2000
Cable & Wireless USA,UK,Cable & Wireless PLC,67000,27000,40000,2000
Case New Holland,Italy,Fiat SPA,59000,8500,50500,2000
Celanese Americas Corp,Germany,Celanese AG,43850,16500,26850,2000
Central Soya Co,Italy,Montedison,10500,1000,9500,2000
CGU Corp,UK,CGU PLC,500,500,0,2000
Ciba Specialty Chemicals,Switzerland,Ciba Specialty Chemicals Holding,19500,4000,15500,2000
CIBC Oppenheimer,Canada,Canadian Imperial Bank of Commerce,0,0,0,2000
Credit Suisse First Boston (Credit Suisse Group),Switzerland,Credit Suisse Group,225857,99857,126000,2000
Credit Suisse First Boston (USA) (Credit Suisse First Boston),Switzerland,Credit Suisse Group,18500,500,18000,2000
CSR America,Australia,CSR Ltd,102750,9000,93750,2000
