Entity,Code,Year,Mismanaged plastic waste (tonnes),Coastal population,Total population (Gapminder)
Afghanistan,AFG,1800,NA,NA,3280000
Afghanistan,AFG,1820,NA,NA,3280000
Afghanistan,AFG,1870,NA,NA,4207000
Afghanistan,AFG,1913,NA,NA,5730000
Afghanistan,AFG,1950,NA,NA,8151455
Afghanistan,AFG,1951,NA,NA,8276820
Afghanistan,AFG,1952,NA,NA,8407148
Afghanistan,AFG,1953,NA,NA,8542906
Afghanistan,AFG,1954,NA,NA,8684494
Afghanistan,AFG,1955,NA,NA,8832253
Afghanistan,AFG,1956,NA,NA,8986449
Afghanistan,AFG,1957,NA,NA,9147286
Afghanistan,AFG,1958,NA,NA,9314915
Afghanistan,AFG,1959,NA,NA,9489453
Afghanistan,AFG,1960,NA,NA,9671046
Afghanistan,AFG,1961,NA,NA,9859928
Afghanistan,AFG,1962,NA,NA,10056480
Afghanistan,AFG,1963,NA,NA,10261254
Afghanistan,AFG,1964,NA,NA,10474903
Afghanistan,AFG,1965,NA,NA,10697983
Afghanistan,AFG,1966,NA,NA,10927724
Afghanistan,AFG,1967,NA,NA,11163656
Afghanistan,AFG,1968,NA,NA,11411022
Afghanistan,AFG,1969,NA,NA,11676990
Afghanistan,AFG,1970,NA,NA,11964906
Afghanistan,AFG,1971,NA,NA,12273101
Afghanistan,AFG,1972,NA,NA,12593688
Afghanistan,AFG,1973,NA,NA,12915499
Afghanistan,AFG,1974,NA,NA,13223928
Afghanistan,AFG,1975,NA,NA,13505544
Afghanistan,AFG,1976,NA,NA,13766792
Afghanistan,AFG,1977,NA,NA,14003408
Afghanistan,AFG,1978,NA,NA,14179656
Afghanistan,AFG,1979,NA,NA,14249493
Afghanistan,AFG,1980,NA,NA,14185729
Afghanistan,AFG,1981,NA,NA,13984092
Afghanistan,AFG,1982,NA,NA,13672870
Afghanistan,AFG,1983,NA,NA,13300056
Afghanistan,AFG,1984,NA,NA,12931791
Afghanistan,AFG,1985,NA,NA,12625292
Afghanistan,AFG,1986,NA,NA,12372113
Afghanistan,AFG,1987,NA,NA,12183387
Afghanistan,AFG,1988,NA,NA,12156685
Afghanistan,AFG,1989,NA,NA,12414686
Afghanistan,AFG,1990,NA,NA,13032161
Afghanistan,AFG,1991,NA,NA,14069854
Afghanistan,AFG,1992,NA,NA,15472076
Afghanistan,AFG,1993,NA,NA,17053213
Afghanistan,AFG,1994,NA,NA,18553819
Afghanistan,AFG,1995,NA,NA,19789880
Afghanistan,AFG,1996,NA,NA,20684982
Afghanistan,AFG,1997,NA,NA,21299350
Afghanistan,AFG,1998,NA,NA,21752257
Afghanistan,AFG,1999,NA,NA,22227543
Afghanistan,AFG,2000,NA,NA,22856302
Afghanistan,AFG,2001,NA,NA,23677385
Afghanistan,AFG,2002,NA,NA,24639841
