country,capture,aquaculture,total
Afghanistan,1000,1200,2200
Albania,7886,950,8836
Algeria,95000,1361,96361
American Samoa,3047,20,3067
Andorra,0,0,0
Angola,486490,655,487145
Antigua and Barbuda,3000,10,3010
Argentina,755226,3673,758899
Armenia,3758,16381,20139
Aruba,142,0,142
Australia,174629,96847,271476
Austria,350,3483,3833
Azerbaijan,676,640,1316
Bahamas,11625,8,11633
Bahrain,15000,6,15006
Bangladesh,1674770,2203554,3878324
Barbados,1735,26,1761
Belarus,686,11199,11885
Belgium,26970,44,27014
Belize,91432,953,92385
Benin,49806,3080,52886
Bermuda,410,0,410
Bhutan,7,150,157
Bolivia,7000,3000,10000
Bosnia and Herzegovina,305,4564,4869
Botswana,38,15,53
Brazil,705000,581230,1286230
British Virgin Islands,1200,0,1200
Brunei,13292,948,14240
Bulgaria,8614,15762,24376
Burkina Faso,22070,470,22540
Burundi,21805,1330,23135
Cambodia,629950,172500,802450
Cameroon,233190,2315,235505
Canada,874727,200765,1075492
Cape Verde,19900,0,19900
Cayman Islands,125,0,125
Central African Republic,29000,190,29190
Chad,110000,94,110094
Chile,1829238,1050117,2879355
China,17800000,63700000,81500000
Colombia,86344,96970,183314
Comoros,16407,0,16407
Costa Rica,14750,22421,37171
Croatia,72312,15805,88117
Cuba,23574,29185,52759
Curaçao,35534,0,35534
Cyprus,1507,6625,8132
Czech Republic,3507,20952,24459
Democratic Republic of the Congo,237372,3161,240533
Denmark,670344,36337,706681
Djibouti,2220,0,2220
Dominica,770,6,776
Dominican Republic,14640,2285,16925
Ecuador,715495,451090,1166585
Egypt,335614,1370660,1706274
El Salvador,54084,7956,62040
Equatorial Guinea,8000,15,8015
Eritrea,4300,0,4300
Estonia,75931,868,76799
Eswatini,65,100,165
Ethiopia,45500,95,45595
Faroe Islands,568435,83300,651735
Federated States of Micronesia,88397,0,88397
Fiji,44663,754,45417
Finland,192065,14412,206477
France,561173,166640,727813
France,90,0,90
French Polynesia,13754,1343,15097
Gabon,31000,45,31045
Gambia,58261,5,58266
Georgia,30078,670,30748
Germany,271185,41721,312906
Ghana,327457,52480,379937
Gibraltar,1,0,1
Greece,76362,123410,199772
Greenland,273175,0,273175
Grenada,2550,0,2550
Guam,1391,110,1501
Guatemala,19011,26268,45279
Guinea,128000,250,128250
Guinea-Bissau,6700,0,6700
Guyana,42142,337,42479
