president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,10/04/2020,44.668253,49.141762,40.194744,52.196997,56.75184,47.642153,04/10/2020 10:02
Donald Trump,Adults,10/04/2020,43.164862,47.273779,39.055944,52.619902,57.160205,48.079599,04/10/2020 09:59
Donald Trump,All polls,10/04/2020,44.201596,48.624428,39.778763,52.346162,56.638787,48.053536,04/10/2020 09:57
Donald Trump,All polls,10/03/2020,44.410675,48.924455,39.896895,51.962798,56.289745,47.635852,03/10/2020 18:42
Donald Trump,Adults,10/03/2020,43.164862,47.273789,39.055935,52.619902,57.160181,48.079624,03/10/2020 18:43
Donald Trump,Voters,10/03/2020,44.988484,49.55219,40.424778,51.742314,56.362091,47.122537,03/10/2020 18:46
Donald Trump,Adults,10/02/2020,43.277257,47.34041,39.214104,52.425932,56.869878,47.981987,02/10/2020 18:37
Donald Trump,Voters,10/02/2020,44.508121,48.872655,40.143588,52.14795,56.573524,47.722375,02/10/2020 18:40
Donald Trump,All polls,10/02/2020,44.048975,48.335911,39.762039,52.256356,56.391216,48.121495,02/10/2020 18:36
Donald Trump,Voters,10/01/2020,44.121061,48.689933,39.55219,52.783256,57.034134,48.532378,01/10/2020 20:18
Donald Trump,Adults,10/01/2020,42.676607,46.892956,38.460258,53.282143,57.481273,49.083013,01/10/2020 20:15
Donald Trump,All polls,10/01/2020,43.829311,48.309232,39.349391,52.809981,56.913362,48.706599,01/10/2020 20:14
Donald Trump,Adults,9/30/2020,42.225889,46.414429,38.037349,53.746233,58.017089,49.475377,30/09/2020 19:26
Donald Trump,Voters,9/30/2020,44.18968,48.817908,39.561451,52.677147,56.964322,48.389971,30/09/2020 19:30
Donald Trump,All polls,9/30/2020,43.729772,48.272126,39.187418,52.931055,57.115124,48.746986,30/09/2020 19:25
Donald Trump,Voters,9/29/2020,44.259678,49.013377,39.505978,52.40992,56.742225,48.077615,29/09/2020 20:58
Donald Trump,Adults,9/29/2020,41.976736,46.143702,37.809769,53.277067,57.667347,48.886788,29/09/2020 20:55
Donald Trump,All polls,9/29/2020,43.709542,48.35078,39.068303,52.508964,56.758289,48.259638,29/09/2020 20:54
Donald Trump,Adults,9/28/2020,42.038574,46.175982,37.901165,53.332385,57.73454,48.930229,28/09/2020 18:52
Donald Trump,Voters,9/28/2020,44.263237,49.022403,39.504071,52.407347,56.750621,48.064073,28/09/2020 18:57
Donald Trump,All polls,9/28/2020,43.768974,48.432882,39.105065,52.514251,56.792489,48.236013,28/09/2020 18:51
Donald Trump,Adults,9/27/2020,42.038574,46.175972,37.901175,53.332385,57.734532,48.930237,27/09/2020 15:34
Donald Trump,Voters,9/27/2020,44.28928,49.230151,39.348408,52.22449,56.765506,47.683474,27/09/2020 15:37
Donald Trump,All polls,9/27/2020,43.808927,48.586986,39.030869,52.354559,56.776475,47.932642,27/09/2020 15:33
Donald Trump,Voters,9/26/2020,43.919316,48.893277,38.945356,52.702484,57.148505,48.256463,27/09/2020 00:58
Donald Trump,Adults,9/26/2020,41.265648,45.465409,37.065886,53.919465,58.570498,49.268432,27/09/2020 00:52
Donald Trump,All polls,9/26/2020,43.174441,48.108103,38.240778,52.990994,57.480071,48.501916,27/09/2020 00:49
Donald Trump,All polls,9/25/2020,43.174441,48.108109,38.240772,52.990994,57.480069,48.501918,25/09/2020 22:25
Donald Trump,Adults,9/25/2020,41.265648,45.465398,37.065898,53.919465,58.570489,49.268441,25/09/2020 22:26
Donald Trump,Voters,9/25/2020,43.919316,48.893253,38.945379,52.702484,57.148503,48.256465,25/09/2020 22:29
Donald Trump,Voters,9/24/2020,43.867556,48.887716,38.847396,52.826619,57.32727,48.325968,24/09/2020 19:16
