code,entity,continent,year,gdp_per_cap,plastic_waste_per_cap,mismanaged_plastic_waste_per_cap,mismanaged_plastic_waste,coastal_pop,total_pop
AFG,Afghanistan,Asia,2010,1614.25500126115,NA,NA,NA,NA,31411743
ALB,Albania,Europe,2010,9927.18184117512,0.069,0.032,29705,2530533,3204284
DZA,Algeria,Africa,2010,12870.6026985154,0.144,0.086,520555,16556580,35468208
ASM,American Samoa,Oceania,2010,NA,NA,NA,NA,NA,68420
AND,Andorra,Europe,2010,NA,NA,NA,NA,NA,84864
AGO,Angola,Africa,2010,5897.68284059848,0.062,0.045,62528,3790041,19081912
AIA,Anguilla,North America,2010,NA,0.252,0.01,52,14561,15358
ATG,Antigua and Barbuda,North America,2010,19212.7201307541,0.66,0.051,1253,66843,88710
ARG,Argentina,South America,2010,18712.0630773436,0.183,0.026,157777,16449245,40412376
ARM,Armenia,Europe,2010,6702.84800627941,NA,NA,NA,NA,3092072
ARM,Armenia,Asia,2010,6702.84800627941,NA,NA,NA,NA,3092072
ABW,Aruba,North America,2010,NA,0.252,0.007,372,137910,107488
AUS,Australia,Oceania,2010,41464.0400696359,0.112,0.002,13889,17235954,22268384
AUT,Austria,Europe,2010,43336.1978527647,NA,NA,NA,NA,8393644
AZE,Azerbaijan,Europe,2010,15950.2574578783,NA,NA,NA,NA,9187783
AZE,Azerbaijan,Asia,2010,15950.2574578783,NA,NA,NA,NA,9187783
BHS,Bahamas,North America,2010,29221.9911816149,0.39,0.011,1333,341145,342877
BHR,Bahrain,Asia,2010,40570.5356928307,0.132,0.016,4376,743574,1261835
BGD,Bangladesh,Asia,2010,2442.72888765696,0.034,0.03,787327,70874124,148692131
BRB,Barbados,North America,2010,16417.9624523108,0.57,0.034,3483,276784,273331
BLR,Belarus,Europe,2010,16235.1714534334,NA,NA,NA,NA,9595421
BEL,Belgium,Europe,2010,41085.9189401366,0.08,0.002,2743,4747957,10712066
BLZ,Belize,North America,2010,7876.80958597644,0.172,0.053,3892,202429,311627
BEN,Benin,Africa,2010,1818.77846075906,0.043,0.036,43015,3235418,8849892
BMU,Bermuda,North America,2010,56395.0078003539,0.252,0.005,123,66966,64941
BTN,Bhutan,Asia,2010,6419.67559908811,NA,NA,NA,NA,725940
BOL,Bolivia,South America,2010,5407.47022023569,NA,NA,NA,NA,9929849
BIH,Bosnia and Herzegovina,Europe,2010,9720.34217718095,0.144,0.061,12955,585582,3760149
BWA,Botswana,Africa,2010,13334.1987970857,NA,NA,NA,NA,2006945
BRA,Brazil,South America,2010,14537.5671930903,0.165,0.017,471404,74696771,194946470
VGB,British Virgin Islands,North America,2010,NA,0.252,0.005,55,29674,23245
BRN,Brunei,Asia,2010,80552.8644713138,0.026,0.001,93,359871,398920
BGR,Bulgaria,Europe,2010,15283.2914751664,0.154,0.051,18739,1002695,7494332
BFA,Burkina Faso,Africa,2010,1423.37770598198,NA,NA,NA,NA,16468714
BDI,Burundi,Africa,2010,763.831930213843,NA,NA,NA,NA,8382849
KHM,Cambodia,Asia,2010,2522.92682475402,0.066,0.058,29686,1391254,14138255
CMR,Cameroon,Africa,2010,2929.82911281962,0.046,0.038,27713,1986723,19598889
CAN,Canada,North America,2010,40699.3551293841,0.093,0.002,7959,11846863,34016593
CPV,Cape Verde,Africa,2010,5828.24158804338,0.065,0.049,9347,522245,495999
CYM,Cayman Islands,North America,2010,NA,0.252,0.005,95,51864,56230
CAF,Central African Republic,Africa,2010,881.144550791663,NA,NA,NA,NA,4401051
TCD,Chad,Africa,2010,1925.19511802507,NA,NA,NA,NA,11227208
CHL,Chile,South America,2010,19442.0503154635,0.119,0.011,21754,5621550,17113688
CHN,China,Asia,2010,9525.81848339164,0.121,0.092,8819717,262892387,1341335152
CXR,Christmas Island,Asia,2010,NA,0.252,0.005,3,1402,1400
CCK,Cocos Islands,Asia,2010,NA,0.252,0.005,1,596,596
COL,Colombia,South America,2010,10900.5052821616,0.144,0.034,92173,7498563,46294841
COM,Comoros,Africa,2010,1412.50268663997,0.201,0.169,58032,938595,734750
COG,Congo,Africa,2010,5186.34478845194,0.069,0.054,16766,847807,4042899
COK,Cook Islands,Oceania,2010,NA,0.144,0.054,416,20934,20288
CRI,Costa Rica,North America,2010,12999.9921931442,0.258,0.047,42090,2479298,4658887
CIV,Cote d'Ivoire,Africa,2010,2690.25800198952,0.103,0.086,194558,6230583,19737800
HRV,Croatia,Europe,2010,20171.9575294867,0.252,0.028,16461,1602782,4403330
CUB,Cuba,North America,2010,NA,0.089,0.022,90630,11333471,11257979
CUW,Curacao,North America,2010,NA,0.252,0.005,268,143784,NA
CYP,Cyprus,Europe,2010,33941.1380158355,0.248,0.006,1821,840556,1103647
CYP,Cyprus,Asia,2010,33941.1380158355,0.248,0.006,1821,840556,1103647
CZE,Czech Republic,Europe,2010,28352.9493964403,NA,NA,NA,NA,10492960
COD,Democratic Republic of Congo,Africa,2010,660.210955818272,0.045,0.039,15208,1076056,65965795
DNK,Denmark,Europe,2010,43998.4366716285,0.047,0.001,1791,5376386,5550142
DJI,Djibouti,Africa,2010,NA,0.103,0.076,17324,621744,888716
DMA,Dominica,North America,2010,10198.2733729326,0.149,0.031,783,70138,67757
DOM,Dominican Republic,North America,2010,11132.5526905467,0.144,0.039,118226,8232586,9927320
ECU,Ecuador,South America,2010,9352.34423681593,0.147,0.047,109383,6400048,14464739
EGY,Egypt,Africa,2010,9857.46828190066,0.178,0.122,967012,21750943,81121077
SLV,El Salvador,North America,2010,6300.77538777337,0.147,0.051,118732,6410726,6192993
GNQ,Equatorial Guinea,Africa,2010,33723.3658030152,0.144,0.047,5977,351600,700401
ERI,Eritrea,Africa,2010,1416.36580154238,0.045,0.035,16259,1266222,5253676
EST,Estonia,Europe,2010,22740.9720038708,0.176,0.019,5979,878021,1341140
ETH,Ethiopia,Africa,2010,1073.82629506883,NA,NA,NA,NA,82949541
FRO,Faeroe Islands,Europe,2010,NA,0.252,0.005,93,50554,48708
FLK,Falkland Islands,South America,2010,NA,0.252,0.005,5,2602,NA
FJI,Fiji,Oceania,2010,7352.08836002372,0.189,0.151,49257,896145,860623
FIN,Finland,Europe,2010,39848.1344978775,0.234,0.005,4985,2927674,5364546
FRA,France,Europe,2010,36855.8446824064,0.192,0.004,24109,17287280,62787427
GUF,French Guiana,South America,2010,NA,0.144,0.039,2360,167631,231151
PYF,French Polynesia,Oceania,2010,NA,0.252,0.013,1286,270618,270764
GAB,Gabon,Africa,2010,15355.7846497731,0.054,0.019,6087,862328,1505463
GMB,Gambia,Africa,2010,1644.24236613493,0.048,0.041,19616,1324214,1728394
GEO,Georgia,Europe,2010,6733.78376130988,0.068,0.035,14472,1124249,4352244
