address,city,state,zip,longitude,latitude
793 W. Bel Air Avenue,"
Aberdeen",MD,21001,-76.188459,39.523216
3018 CatClaw Dr,"
Abilene",TX,79606,-99.778765,32.413489
3501 West Lake Rd,"
Abilene",TX,79601,-99.722688,32.491357
184 North Point Way,"
Acworth",GA,30102,-84.656087,34.082039
2828 East Arlington Street,"
Ada",OK,74820,-96.636515,34.781805
14925 Landmark Blvd,"
Addison",TX,75254,-96.82874,32.951644
Carretera Panamericana Sur KM 12,"
Aguascalientes",AG,20345,-102.276329,21.755585
909 East Frontage Rd,"
Alamo",TX,78516,-98.119251,26.189974
2116 Yale Blvd Southeast,"
Albuquerque",NM,87106,-106.621731,35.058154
7439 Pan American Fwy Northeast,"
Albuquerque",NM,87109,-106.588759,35.160862
2011 Menaul Blvd Northeast,"
Albuquerque",NM,87107,-106.621918,35.110676
5241 San Antonio Dr Northeast,"
Albuquerque",NM,87109,-106.585234,35.160262
6101 Iliff Rd Northwest,"
Albuquerque",NM,87121,-106.708359,35.103537
6116 West Calhoun Dr,"
Alexandria",LA,71303,-92.521641,31.345904
2400 East Main St,"
Alice",TX,78332,-98.043509,27.764255
1220 North Central Expressway,"
Allen",TX,75013,-96.667392,33.116742
1165 Hwy 67W,"
Alvarado",TX,76009,-97.223768,32.414902
880 South Loop 35,"
Alvin",TX,77511,-95.230114,29.417545
1708 Interstate 40 East,"
Amarillo",TX,79103,-101.818769,35.192004
9305 East Interstate 40,"
Amarillo",TX,79118,-101.731491,35.193716
2108 S Coulter St,"
Amarillo",TX,79106,-101.921947,35.189119
1752 Clementine St,"
Anaheim",CA,92802,-117.909934,33.804336
3501 Minnesota Dr.,"
Anchorage",AK,99503,-149.911896,61.188425
131 River Rd,"
Andover",MA,01810,-71.208835,42.690716
1012 NE 1st Place,"
Andrews",TX,79714,-102.548602,32.329328
2400 West Mulberry St,"
Angleton",TX,77515,-95.457995,29.162936
3800 West College Ave,"
Appleton",WI,54914,-88.462334,44.262343
1502 Woerz Way,"
Ardmore",OK,73401,-97.16337,34.18978
825 North Watson Rd,"
Arlington",TX,76011,-97.065655,32.754999
94 Business Park Dr,"
Armonk",NY,10504,-73.70732,41.120988
2207 West Main Street,"
Artesia",NM,88210,-104.423782,32.841684
6909 Atascocita Rd.,"
Humble",TX,77346,-95.173552,29.996108
1200 Virginia Ave,"
Atlanta",GA,30344,-84.428622,33.658159
4820 Massachusetts Blvd,"
Atlanta",GA,30337,-84.45413,33.62373
1350 North Point Dr,"
Alpharetta",GA,30022,-84.289212,34.050777
1184 Dogwood Dr SE,"
Conyers",GA,30012,-84.005762,33.654899
1000 Linnenkohl Dr,"
Douglasville",GA,30134,-84.75943,33.731487
2370 Stephens Center Dr,"
Duluth",GA,30096,-84.092387,33.975076
2535 Chantilly Dr Northeast,"
Atlanta",GA,30324,-84.349433,33.823624
2415 Paces Ferry Rd Southeast,"
Atlanta",GA,30339,-84.483304,33.862991
6260 Peachtree Dunwoody Rd,"
Atlanta",GA,30328,-84.351476,33.923017
575 Old Holcomb Bridge Rd,"
Roswell",GA,30076,-84.328818,34.024387
600 Bullsboro Dr,"
Newnan",GA,30265,-84.758117,33.397119000000004
3581 Cameron Pkwy,"
Stockbridge",GA,30281,-84.274346,33.553188
446 Southbridge St,"
Auburn",MA,01501,-71.841529,42.199433
225 6th Street South East,"
Auburn",WA,98002,-122.227077,47.302127
3020 Washington Rd,"
Augusta",GA,30907,-82.046295,33.512282
7625 East Ben White Blvd,"
Austin",TX,78741,-97.691821,30.217562
300 East 11th St,"
Austin",TX,78701,-97.7385,30.27219
10701 Lakeline Mall Dr,"
Austin",TX,78717,-97.792153,30.475715
1010 East Whitestone Blvd,"
Cedar Park",TX,78613,-97.817846,30.52437
11901 North Mopac Expwy,"
Austin",TX,78759,-97.718674,30.406888
7622 I-35 North,"
Austin",TX,78752,-97.702027,30.339111
1603 East Oltorf Blvd,"
Austin",TX,78741,-97.740332,30.233463
2004 North I-35,"
Round Rock",TX,78681,-97.691897,30.52977
4200 I-35 South,"
Austin",TX,78745,-97.753277,30.21475
4424 South Mopac Expwy,"
Austin",TX,78735,-97.817447,30.240884
5812 N Interstate Hwy 35,"
Austin",TX,78751,-97.707833,30.319791
8858 Spectrum Park Way,"
Bakersfield",CA,93308,-119.0763,35.44045
3232 Riverside Dr,"
Bakersfield",CA,93308,-119.042383,35.383269
1734 West Nursery Rd,"
Linthicum",MD,21090,-76.685058,39.197228
200 West Saratoga Street,"
Baltimore",MD,21201,-76.618319,39.293078
4 Philadelphia Ct,"
Baltimore",MD,21237,-76.490684,39.338264
6323 Ritchie Hwy,"
Glen Burnie",MD,21061,-76.61359,39.20314
8200 Park Road,"
Batavia",NY,14020,-78.19307,43.017308
1617 Oneal Ln,"
Baton Rouge",LA,70816,-91.007632,30.446422
2720 N Westport Drive,"
Port Allen",LA,70767,-91.239695,30.447357
10555 Reiger Rd,"
Baton Rouge",LA,70809,-91.063721,30.382409
2333 South Acadian Thruway,"
Baton Rouge",LA,70808,-91.150534,30.425949
5300 7th St,"
Bay City",TX,77414,-95.928454,28.989119
5820 Walden Rd,"
Beaumont",TX,77707,-94.16126,30.038825
2062 HWY 59 E,"
Beeville",TX,78102,-97.72453,28.411948
6445 Jackrabbit Lane,"
Belgrade",MT,59714,-111.187371,45.764264
1063 W. Bakerview Rd.,"
Bellingham",WA,98226,-122.509771,48.789278
229 West Loop 121,"
Belton",TX,76513,-97.476861,31.030284
61200 South Hwy 97,"
Bend",OR,97702,-121.315628,44.021764
1001 Southeast Walton,"
Bentonville",AR,72712,-94.199379,36.335778
920 University Ave,"
Berkeley",CA,94710,-122.2956,37.868382
1102 IH 20 West,"
Big Spring",TX,79720,-101.496334,32.263475
